Name,Layer,Description,Address,Latitude,Longitude
19 nov 01 - Aeroporto MUC,19 nov — Munique — chegada,19 nov - Munique — chegada - Aeroporto - #day-2026-11-19,"Munich Airport, Germany",48.353783,11.775083
19 nov 02 - München Hauptbahnhof,19 nov — Munique — chegada,19 nov - Munique — chegada - Transporte - #day-2026-11-19,"München Hauptbahnhof, Germany",48.140228,11.558338
19 nov 03 - B&B Hotel München-Hbf,19 nov — Munique — chegada,19 nov - Munique — chegada - Hotel - #day-2026-11-19,"B&B Hotel München-Hbf, Arnulfstraße 30, 80335 München, Germany",48.144472,11.559389
19 nov 04 - Marienplatz,19 nov — Munique — chegada,19 nov - Munique — chegada - Ponto turístico - #day-2026-11-19,"Marienplatz, Munich, Germany",48.137154,11.575382
19 nov 05 - Neues Rathaus,19 nov — Munique — chegada,19 nov - Munique — chegada - Ponto turístico - #day-2026-11-19,"Neues Rathaus, Marienplatz, Munich, Germany",48.137408,11.575863
19 nov 06 - Frauenkirche,19 nov — Munique — chegada,19 nov - Munique — chegada - Ponto turístico - #day-2026-11-19,"Frauenkirche, Munich, Germany",48.138796,11.573591
19 nov 07 - Viktualienmarkt,19 nov — Munique — chegada,19 nov - Munique — chegada - Ponto turístico - #day-2026-11-19,"Viktualienmarkt, Munich, Germany",48.135125,11.576203
19 nov 08 - Karlsplatz (Stachus),19 nov — Munique — chegada,19 nov - Munique — chegada - Ponto turístico - #day-2026-11-19,"Karlsplatz, Munich, Germany",48.139003,11.565369
20 nov 01 - B&B Hotel München-Hbf,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Hotel - #day-2026-11-20,"B&B Hotel München-Hbf, Arnulfstraße 30, München, Germany",48.144472,11.559389
20 nov 02 - Hofgarten,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Hofgarten, Munich, Germany",48.142883,11.579620
20 nov 03 - Odeonsplatz,20 nov — Munique — Englischer Garten,20 nov - Munique — Englischer Garten - Ponto turístico - #day-2026-11-20,"Odeonsplatz, Munich, Germany",48.142487,11.577944
