day_id,date,day_title,order,category,category_pt,name_pt,address,latitude,longitude,leg_mode,leg_mode_pt,leg_hint,leg_maps_url,maps_search_url,route_day_url
day-2026-11-19,19 nov,Munique — chegada,1,airport,Aeroporto,Aeroporto MUC,"Munich Airport, Germany",48.353783,11.775083,,,,,https://www.google.com/maps/search/?api=1&query=Munich%20Airport%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-19,19 nov,Munique — chegada,2,transport,Transporte,München Hauptbahnhof,"München Hauptbahnhof, Germany",48.140228,11.558338,train,Trem,S8 ou S1 → Hbf (~40 min),https://www.google.com/maps/dir/?api=1&origin=Munich%20Airport%2C%20Germany&destination=M%C3%BCnchen%20Hauptbahnhof%2C%20Germany&travelmode=transit,https://www.google.com/maps/search/?api=1&query=M%C3%BCnchen%20Hauptbahnhof%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-19,19 nov,Munique — chegada,3,hotel,Hotel,B&B Hotel München-Hbf,"B&B Hotel München-Hbf, Arnulfstraße 30, 80335 München, Germany",48.144472,11.559389,walk,A pé,Check-in · ~5 min do Hbf,https://www.google.com/maps/dir/?api=1&origin=M%C3%BCnchen%20Hauptbahnhof%2C%20Germany&destination=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&travelmode=walking,https://www.google.com/maps/search/?api=1&query=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-19,19 nov,Munique — chegada,4,sight,Ponto turístico,Marienplatz,"Marienplatz, Munich, Germany",48.137154,11.575382,metro,Metro,S-Bahn ou U5 → Marienplatz,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Marienplatz%2C%20Munich%2C%20Germany&travelmode=transit,https://www.google.com/maps/search/?api=1&query=Marienplatz%2C%20Munich%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-19,19 nov,Munique — chegada,5,sight,Ponto turístico,Neues Rathaus,"Neues Rathaus, Marienplatz, Munich, Germany",48.137408,11.575863,walk,A pé,~2 min,https://www.google.com/maps/dir/?api=1&origin=Marienplatz%2C%20Munich%2C%20Germany&destination=Neues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany&travelmode=walking,https://www.google.com/maps/search/?api=1&query=Neues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-19,19 nov,Munique — chegada,6,sight,Ponto turístico,Frauenkirche,"Frauenkirche, Munich, Germany",48.138796,11.573591,walk,A pé,~3 min,https://www.google.com/maps/dir/?api=1&origin=Neues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany&destination=Frauenkirche%2C%20Munich%2C%20Germany&travelmode=walking,https://www.google.com/maps/search/?api=1&query=Frauenkirche%2C%20Munich%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-19,19 nov,Munique — chegada,7,sight,Ponto turístico,Viktualienmarkt,"Viktualienmarkt, Munich, Germany",48.135125,11.576203,walk,A pé,~2 min,https://www.google.com/maps/dir/?api=1&origin=Frauenkirche%2C%20Munich%2C%20Germany&destination=Viktualienmarkt%2C%20Munich%2C%20Germany&travelmode=walking,https://www.google.com/maps/search/?api=1&query=Viktualienmarkt%2C%20Munich%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-19,19 nov,Munique — chegada,8,sight,Ponto turístico,Karlsplatz (Stachus),"Karlsplatz, Munich, Germany",48.139003,11.565369,walk,A pé,~8 min,https://www.google.com/maps/dir/?api=1&origin=Viktualienmarkt%2C%20Munich%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking,https://www.google.com/maps/search/?api=1&query=Karlsplatz%2C%20Munich%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%2080335%20M%C3%BCnchen%2C%20Germany&destination=Karlsplatz%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Marienplatz%2C%20Munich%2C%20Germany%7CNeues%20Rathaus%2C%20Marienplatz%2C%20Munich%2C%20Germany%7CFrauenkirche%2C%20Munich%2C%20Germany%7CViktualienmarkt%2C%20Munich%2C%20Germany
day-2026-11-20,20 nov,Munique — Englischer Garten,1,hotel,Hotel,B&B Hotel München-Hbf,"B&B Hotel München-Hbf, Arnulfstraße 30, München, Germany",48.144472,11.559389,,,,,https://www.google.com/maps/search/?api=1&query=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%20M%C3%BCnchen%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%20M%C3%BCnchen%2C%20Germany&destination=Glockenbachviertel%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Hofgarten%2C%20Munich%2C%20Germany%7COdeonsplatz%2C%20Munich%2C%20Germany%7CSiegestor%2C%20Munich%2C%20Germany%7CEnglischer%20Garten%2C%20Munich%2C%20Germany%7CChinesischer%20Turm%2C%20Englischer%20Garten%2C%20Munich%2C%20Germany%7CEisbachwelle%2C%20Munich%2C%20Germany%7CG%C3%A4rtnerplatz%2C%20Munich%2C%20Germany%7CKaufingerstra%C3%9Fe%2C%20Munich%2C%20Germany
day-2026-11-20,20 nov,Munique — Englischer Garten,2,sight,Ponto turístico,Hofgarten,"Hofgarten, Munich, Germany",48.142883,11.579620,metro,Metro,U4 Hbf → Odeonsplatz,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%20M%C3%BCnchen%2C%20Germany&destination=Hofgarten%2C%20Munich%2C%20Germany&travelmode=transit,https://www.google.com/maps/search/?api=1&query=Hofgarten%2C%20Munich%2C%20Germany,https://www.google.com/maps/dir/?api=1&origin=B%26B%20Hotel%20M%C3%BCnchen-Hbf%2C%20Arnulfstra%C3%9Fe%2030%2C%20M%C3%BCnchen%2C%20Germany&destination=Glockenbachviertel%2C%20Munich%2C%20Germany&travelmode=walking&waypoints=Hofgarten%2C%20Munich%2C%20Germany%7COdeonsplatz%2C%20Munich%2C%20Germany%7CSiegestor%2C%20Munich%2C%20Germany%7CEnglischer%20Garten%2C%20Munich%2C%20Germany%7CChinesischer%20Turm%2C%20Englischer%20Garten%2C%20Munich%2C%20Germany%7CEisbachwelle%2C%20Munich%2C%20Germany%7CG%C3%A4rtnerplatz%2C%20Munich%2C%20Germany%7CKaufingerstra%C3%9Fe%2C%20Munich%2C%20Germany
